Account Number,Post Date,Check,Description,Debit,Credit,Status,Balance
"XXXXXX9750",11/10/2025,,"POS SIG 11/08 VISA #3333 SumUp *Alessandro Pal Bologna IT",2.32,,Posted,2835.09
"XXXXXX9750",11/10/2025,,"POS SIG 11/07 VISA #3333 GRUPPO ARGENTA S.P.A. REGGIO EMILIA IT",.46,,Posted,2837.41
"XXXXXX9750",11/7/2025,,"FDR DEBIT CARD VISA DEBIT FOREIGN TRANSACTION FEE TIGOTA' IT",.20,,Posted,2837.87
"XXXXXX9750",11/7/2025,,"FDR DEBIT CARD VISA DEBIT FOREIGN TRANSACTION FEE THE BIG BANG IT",.14,,Posted,2838.07
"XXXXXX9750",11/7/2025,,"FDR DEBIT CARD VISA DEBIT FOREIGN TRANSACTION FEE GRUPPO ARGENT IT",.01,,Posted,2838.21
"XXXXXX9750",11/7/2025,,"POS SIG 11/06 VISA #3333 TIGOTA' PADOVA IT",10.01,,Posted,2838.22
"XXXXXX9750",11/7/2025,,"POS SIG 11/06 VISA #3333 THE BIG BANG PIZZA PADOVA IT",6.90,,Posted,2848.23
"XXXXXX9750",11/7/2025,,"POS SIG 11/06 VISA #3333 GRUPPO ARGENTA S.P.A. REGGIO EMILIA IT",.46,,Posted,2855.13
"XXXXXX9750",11/6/2025,,"FDR DEBIT CARD VISA DEBIT FOREIGN TRANSACTION FEE GRUPPO ARGENT IT",.01,,Posted,2855.59
"XXXXXX9750",11/6/2025,,"POS SIG 11/05 VISA #3333 GRUPPO ARGENTA S.P.A. REGGIO EMILIA IT",.46,,Posted,2855.60
"XXXXXX9750",11/5/2025,,"FDR DEBIT CARD VISA DEBIT FOREIGN TRANSACTION FEE GRUPPO ARGENT IT",.01,,Posted,2856.06
"XXXXXX9750",11/5/2025,,"POS SIG 11/04 VISA #3333 GRUPPO ARGENTA S.P.A. REGGIO EMILIA IT",.46,,Posted,2856.07
"XXXXXX9750",11/4/2025,,"FDR DEBIT CARD VISA DEBIT FOREIGN TRANSACTION FEE GRUPPO ARGENT IT",.01,,Posted,2856.53
"XXXXXX9750",11/4/2025,,"POS SIG 11/03 VISA #3333 GRUPPO ARGENTA S.P.A. REGGIO EMILIA IT",.46,,Posted,2856.54
"XXXXXX9750",11/3/2025,,"FDR DEBIT CARD VISA DEBIT FOREIGN TRANSACTION FEE CO CO SAS DI IT",.42,,Posted,2857.00
"XXXXXX9750",11/3/2025,,"FDR DEBIT CARD VISA DEBIT FOREIGN TRANSACTION FEE LEONCINI IT",.35,,Posted,2857.42
"XXXXXX9750",11/3/2025,,"FDR DEBIT CARD VISA DEBIT FOREIGN TRANSACTION FEE TRENITALIA - IT",.30,,Posted,2857.77
"XXXXXX9750",11/3/2025,,"FDR DEBIT CARD VISA DEBIT FOREIGN TRANSACTION FEE MERCATONE DI IT",.25,,Posted,2858.07
"XXXXXX9750",11/3/2025,,"FDR DEBIT CARD VISA DEBIT FOREIGN TRANSACTION FEE CIOCCOLATERIA IT",.23,,Posted,2858.32
"XXXXXX9750",11/3/2025,,"FDR DEBIT CARD VISA DEBIT FOREIGN TRANSACTION FEE LE DELIZIE DE IT",.19,,Posted,2858.55
"XXXXXX9750",11/3/2025,,"FDR DEBIT CARD VISA DEBIT FOREIGN TRANSACTION FEE SumUp *Pasti IT",.17,,Posted,2858.74
"XXXXXX9750",11/3/2025,,"FDR DEBIT CARD VISA DEBIT FOREIGN TRANSACTION FEE MUSEO CIVICO IT",.12,,Posted,2858.91
"XXXXXX9750",11/3/2025,,"FDR DEBIT CARD VISA DEBIT FOREIGN TRANSACTION FEE PUNTO D'INCON IT",.09,,Posted,2859.03
"XXXXXX9750",11/3/2025,,"FDR DEBIT CARD VISA DEBIT FOREIGN TRANSACTION FEE GRUPPO ARGENT IT",.01,,Posted,2859.12
"XXXXXX9750",11/3/2025,,"POS SIG 10/31 VISA #3333 CO CO SAS DI LI XIANGY BASSANO DEL G IT",21.18,,Posted,2859.13
"XXXXXX9750",11/3/2025,,"POS SIG 11/01 VISA #3333 LEONCINI BASSANO DEL G IT",17.37,,Posted,2880.31
"XXXXXX9750",11/3/2025,,"POS SIG 10/31 VISA #3333 TRENITALIA - PT WL https://www.t IT",15.13,,Posted,2897.68
"XXXXXX9750",11/3/2025,,"POS SIG 10/31 VISA #3333 MERCATONE DI CHEN SIEN PADOVA IT",12.57,,Posted,2912.81
"XXXXXX9750",11/3/2025,,"POS SIG 11/01 VISA #3333 CIOCCOLATERIA MAGNA GR GROTTERIA IT",11.58,,Posted,2925.38
"XXXXXX9750",11/3/2025,,"POS SIG 11/01 VISA #3333 LE DELIZIE DELL'ALVEAR PIAN CAMUNO IT",9.26,,Posted,2936.96
"XXXXXX9750",11/3/2025,,"POS SIG 11/01 VISA #3333 SumUp *Pasticceria Be Fossano IT",8.34,,Posted,2946.22
"XXXXXX9750",11/3/2025,,"POS SIG 11/01 VISA #3333 MUSEO CIVICO COM.BASS. BASSANO DEL G IT",5.79,,Posted,2954.56
"XXXXXX9750",11/3/2025,,"POS SIG 11/01 VISA #3333 PUNTO D'INCONTRO BASSANO DEL G IT",4.40,,Posted,2960.35
"XXXXXX9750",11/3/2025,,"POS SIG 10/31 VISA #3333 GRUPPO ARGENTA S.P.A. REGGIO EMILIA IT",.47,,Posted,2964.75
"XXXXXX9750",10/31/2025,,"FDR DEBIT CARD VISA DEBIT FOREIGN TRANSACTION FEE TRENITALIA - IT",.29,,Posted,2965.22
"XXXXXX9750",10/31/2025,,"FDR DEBIT CARD VISA DEBIT FOREIGN TRANSACTION FEE GRUPPO ARGENT IT",.01,,Posted,2965.51
"XXXXXX9750",10/31/2025,,"POS SIG 10/30 VISA #3333 TRENITALIA - PT WL https://www.t IT",14.29,,Posted,2965.52
"XXXXXX9750",10/31/2025,,"POS SIG 10/30 VISA #3333 GRUPPO ARGENTA S.P.A. REGGIO EMILIA IT",.47,,Posted,2979.81
"XXXXXX9750",10/31/2025,,"FCB FUNDS TRANSFER FROM  X2504",,40.00,Posted,2980.28
"XXXXXX9750",10/30/2025,,"FDR DEBIT CARD VISA DEBIT FOREIGN TRANSACTION FEE BUSA DEI BRIG IT",.42,,Posted,2940.28
"XXXXXX9750",10/30/2025,,"FDR DEBIT CARD VISA DEBIT FOREIGN TRANSACTION FEE THE BIG BANG IT",.21,,Posted,2940.70
"XXXXXX9750",10/30/2025,,"FDR DEBIT CARD VISA DEBIT FOREIGN TRANSACTION FEE GELATERIA ROM IT",.12,,Posted,2940.91
"XXXXXX9750",10/30/2025,,"FDR DEBIT CARD VISA DEBIT FOREIGN TRANSACTION FEE GRUPPO ARGENT IT",.01,,Posted,2941.03
"XXXXXX9750",10/30/2025,,"POS SIG 10/29 VISA #3333 BUSA DEI BRIGANTI PADOVA IT",21.01,,Posted,2941.04
"XXXXXX9750",10/30/2025,,"POS SIG 10/29 VISA #3333 THE BIG BANG PIZZA PADOVA IT",10.50,,Posted,2962.05
"XXXXXX9750",10/30/2025,,"POS SIG 10/29 VISA #3333 GELATERIA ROMANA PADOVA IT",5.84,,Posted,2972.55
"XXXXXX9750",10/30/2025,,"POS SIG 10/29 VISA #3333 GRUPPO ARGENTA S.P.A. REGGIO EMILIA IT",.47,,Posted,2978.39
"XXXXXX9750",10/29/2025,,"FDR DEBIT CARD VISA DEBIT FOREIGN TRANSACTION FEE SUPERMERCATO IT",.13,,Posted,2978.86
"XXXXXX9750",10/29/2025,,"FDR DEBIT CARD VISA DEBIT FOREIGN TRANSACTION FEE GRUPPO ARGENT IT",.01,,Posted,2978.99
"XXXXXX9750",10/29/2025,,"POS SIG 10/28 VISA #3333 SUPERMERCATO SUMITI GI PADOVA IT",6.29,,Posted,2979.00
"XXXXXX9750",10/29/2025,,"POS SIG 10/28 VISA #3333 GRUPPO ARGENTA S.P.A. REGGIO EMILIA IT",.47,,Posted,2985.29
"XXXXXX9750",10/28/2025,,"FDR DEBIT CARD VISA DEBIT FOREIGN TRANSACTION FEE THE BIG BANG IT",.14,,Posted,2985.76
"XXXXXX9750",10/28/2025,,"FDR DEBIT CARD VISA DEBIT FOREIGN TRANSACTION FEE ATAC TAP&amp;GO IT",.04,,Posted,2985.90
"XXXXXX9750",10/28/2025,,"FDR DEBIT CARD VISA DEBIT FOREIGN TRANSACTION FEE GRUPPO ARGENT IT",.01,,Posted,2985.94
"XXXXXX9750",10/28/2025,,"POS SIG 10/27 VISA #3333 THE BIG BANG PIZZA PADOVA IT",6.99,,Posted,2985.95
"XXXXXX9750",10/28/2025,,"POS SIG 10/25 VISA #3333 ATAC TAP&amp;GO ROMA IT",1.75,,Posted,2992.94
"XXXXXX9750",10/28/2025,,"POS SIG 10/27 VISA #3333 GRUPPO ARGENTA S.P.A. REGGIO EMILIA IT",.47,,Posted,2994.69
"XXXXXX9750",10/27/2025,,"FDR DEBIT CARD VISA DEBIT FOREIGN TRANSACTION FEE RISTOGERMANIC IT",.63,,Posted,2995.16
"XXXXXX9750",10/27/2025,,"FDR DEBIT CARD VISA DEBIT FOREIGN TRANSACTION FEE CHARITY CAFE' IT",.46,,Posted,2995.79
"XXXXXX9750",10/27/2025,,"FDR DEBIT CARD VISA DEBIT FOREIGN TRANSACTION FEE Musei Vatican VS",.19,,Posted,2996.25
"XXXXXX9750",10/27/2025,,"FDR DEBIT CARD VISA DEBIT FOREIGN TRANSACTION FEE RUSTICHELLI &amp; IT",.16,,Posted,2996.44
"XXXXXX9750",10/27/2025,,"FDR DEBIT CARD VISA DEBIT FOREIGN TRANSACTION FEE GRAN CAFFE RO IT",.08,,Posted,2996.60
"XXXXXX9750",10/27/2025,,"FDR DEBIT CARD VISA DEBIT FOREIGN TRANSACTION FEE SumUp *Manpr IT",.08,,Posted,2996.68
"XXXXXX9750",10/27/2025,,"FDR DEBIT CARD VISA DEBIT FOREIGN TRANSACTION FEE ARTE SACRA E IT",.08,,Posted,2996.76
"XXXXXX9750",10/27/2025,,"FDR DEBIT CARD VISA DEBIT FOREIGN TRANSACTION FEE VITTORIO EMAN IT",.05,,Posted,2996.84
"XXXXXX9750",10/27/2025,,"POS SIG 10/25 VISA #3333 RISTOGERMANICO SRL ROMA IT",31.46,,Posted,2996.89
"XXXXXX9750",10/27/2025,,"POS SIG 10/24 VISA #3333 CHARITY CAFE' JAZZ &amp; ROMA IT",23.24,,Posted,3028.35
"XXXXXX9750",10/27/2025,,"POS SIG 10/25 VISA #3333 Musei Vaticani Bigliet Citta del Vat VS",9.32,,Posted,3051.59
"XXXXXX9750",10/27/2025,,"POS SIG 10/24 VISA #3333 RUSTICHELLI &amp; MANGIONE PADOVA IT",8.02,,Posted,3060.91
"XXXXXX9750",10/27/2025,,"POS SIG 10/25 VISA #3333 GRAN CAFFE ROSSETTI ROMA IT",4.08,,Posted,3068.93
"XXXXXX9750",10/27/2025,,"POS SIG 10/25 VISA #3333 ARTE SACRA E SOUVENIR. ROMA IT",4.08,,Posted,3073.01
"XXXXXX9750",10/27/2025,,"POS SIG 10/24 VISA #3333 SumUp *Manpreet S R L Roma IT",4.07,,Posted,3077.09
"XXXXXX9750",10/27/2025,,"POS SIG 10/26 VISA #3333 PAYPAL *ambrosinoloren Visa Direct CA",3.92,,Posted,3081.16
"XXXXXX9750",10/27/2025,,"POS SIG 10/25 VISA #3333 VITTORIO EMANUELE 24 ROMA IT",2.33,,Posted,3085.08
"XXXXXX9750",10/24/2025,,"FDR DEBIT CARD VISA DEBIT FOREIGN TRANSACTION FEE TRENITALIA - IT",2.12,,Posted,3087.41
"XXXXXX9750",10/24/2025,,"POS SIG 10/23 VISA #3333 TRENITALIA - PT WL https://www.t IT",105.78,,Posted,3089.53
"XXXXXX9750",10/23/2025,,"FDR DEBIT CARD VISA DEBIT FOREIGN TRANSACTION FEE GRUPPO ARGENT IT",.01,,Posted,3195.31
"XXXXXX9750",10/23/2025,,"POS SIG 10/22 VISA #3333 GRUPPO ARGENTA S.P.A. REGGIO EMILIA IT",.47,,Posted,3195.32
"XXXXXX9750",10/22/2025,,"FDR DEBIT CARD VISA DEBIT FOREIGN TRANSACTION FEE AL BARETO IT",.04,,Posted,3195.79
"XXXXXX9750",10/22/2025,,"POS SIG 10/21 VISA #3333 AL BARETO PADOVA IT",2.10,,Posted,3195.83
"XXXXXX9750",10/21/2025,,"FDR DEBIT CARD VISA DEBIT FOREIGN TRANSACTION FEE GRUPPO ARGENT IT",.01,,Posted,3197.93
"XXXXXX9750",10/21/2025,,"POS SIG 10/20 VISA #3333 PAYPAL *delucsim Visa Direct CA",6.45,,Posted,3197.94
"XXXXXX9750",10/21/2025,,"POS SIG 10/20 VISA #3333 GRUPPO ARGENTA S.P.A. REGGIO EMILIA IT",.47,,Posted,3204.39
"XXXXXX9750",10/20/2025,,"FDR DEBIT CARD VISA DEBIT FOREIGN TRANSACTION FEE INTELLIGHENZI IT",3.40,,Posted,3204.86
"XXXXXX9750",10/20/2025,,"FDR DEBIT CARD VISA DEBIT FOREIGN TRANSACTION FEE GELATERIA ROM IT",.12,,Posted,3208.26
"XXXXXX9750",10/20/2025,,"FDR DEBIT CARD VISA DEBIT FOREIGN TRANSACTION FEE GRUPPO ARGENT IT",.01,,Posted,3208.38
"XXXXXX9750",10/20/2025,,"POS SIG 10/19 VISA #3333 INTELLIGHENZIA PROJECT PADOVA IT",170.09,,Posted,3208.39
"XXXXXX9750",10/20/2025,,"POS SIG 10/18 VISA #3333 GELATERIA ROMANA PADOVA IT",5.87,,Posted,3378.48
"XXXXXX9750",10/20/2025,,"POS SIG 10/17 VISA #3333 GRUPPO ARGENTA S.P.A. REGGIO EMILIA IT",.47,,Posted,3384.35
"XXXXXX9750",10/17/2025,,"FID BKG SVC LLC MONEYLINE Z****1268 FNZOE",3991.83,,Posted,3384.82
"XXXXXX9750",10/16/2025,,"FDR DEBIT CARD VISA DEBIT FOREIGN TRANSACTION FEE INTELLIGHENZI IT",.35,,Posted,7376.65
"XXXXXX9750",10/16/2025,,"FDR DEBIT CARD VISA DEBIT FOREIGN TRANSACTION FEE PREMIATA GELA IT",.09,,Posted,7377.00
"XXXXXX9750",10/16/2025,,"POS SIG 10/15 VISA #3333 INTELLIGHENZIA PROJECT PADOVA IT",17.43,,Posted,7377.09
"XXXXXX9750",10/16/2025,,"POS SIG 10/15 VISA #3333 PREMIATA GELATERIA ART PADOVA IT",4.65,,Posted,7394.52
"XXXXXX9750",10/15/2025,,"COINBASE INC. 4906566B RTL-H53M5WF6",,3991.83,Posted,7399.17
"XXXXXX9750",10/14/2025,,"FDR DEBIT CARD VISA DEBIT FOREIGN TRANSACTION FEE RISTORANTE AN IT",.26,,Posted,3407.34
"XXXXXX9750",10/14/2025,,"FDR DEBIT CARD VISA DEBIT FOREIGN TRANSACTION FEE SumUp *I lov IT",.16,,Posted,3407.60
"XXXXXX9750",10/14/2025,,"FDR DEBIT CARD VISA DEBIT FOREIGN TRANSACTION FEE BAR MODERNO IT",.08,,Posted,3407.76
"XXXXXX9750",10/14/2025,,"FDR DEBIT CARD VISA DEBIT FOREIGN TRANSACTION FEE BAO FENG IT",.03,,Posted,3407.84
"XXXXXX9750",10/14/2025,,"POS SIG 10/12 VISA #3333 RISTORANTE ANTICA CINA PADOVA IT",13.03,,Posted,3407.87
"XXXXXX9750",10/14/2025,,"POS SIG 10/11 VISA #3333 SumUp *I love trieste Trieste IT",8.14,,Posted,3420.90
"XXXXXX9750",10/14/2025,,"POS SIG 10/11 VISA #3333 BAR MODERNO TRIESTE IT",3.95,,Posted,3429.04
"XXXXXX9750",10/14/2025,,"POS SIG 10/11 VISA #3333 BAO FENG TRIESTE IT",1.74,,Posted,3432.99
"XXXXXX9750",10/9/2025,,"VIA GIACOMO MAT FOREIGN TRAN FEE  DOVA         929926",3.49,,Posted,3434.73
"XXXXXX9750",10/9/2025,,"FDR DEBIT CARD VISA DEBIT FOREIGN TRANSACTION FEE CAFFE PEDROCC IT",.19,,Posted,3438.22
"XXXXXX9750",10/9/2025,,"VIA GIACOMO MAT VIA GIACOMO MATTPADOVA         929926",122.47,,Posted,3438.41
"XXXXXX9750",10/9/2025,,"POS SIG 10/08 VISA #3333 CAFFE PEDROCCHI PLATEA PADOVA IT",9.38,,Posted,3560.88
"XXXXXX9750",10/6/2025,,"FDR DEBIT CARD VISA DEBIT FOREIGN TRANSACTION FEE SOUL KITCHEN IT",.75,,Posted,3570.26
"XXXXXX9750",10/6/2025,,"FDR DEBIT CARD VISA DEBIT FOREIGN TRANSACTION FEE CALOGERO COST IT",.38,,Posted,3571.01
"XXXXXX9750",10/6/2025,,"FDR DEBIT CARD VISA DEBIT FOREIGN TRANSACTION FEE GELATERIA ROM IT",.19,,Posted,3571.39
"XXXXXX9750",10/6/2025,,"POS SIG 10/03 VISA #3333 SOUL KITCHEN DI MARTIN PADOVA IT",37.64,,Posted,3571.58
"XXXXXX9750",10/6/2025,,"POS SIG 10/03 VISA #3333 CALOGERO COSTANZA PADOVA IT",18.82,,Posted,3609.22
"XXXXXX9750",10/6/2025,,"POS SIG 10/05 VISA #3333 GELATERIA ROMANA PADOVA IT",9.41,,Posted,3628.04
"XXXXXX9750",10/6/2025,,"FCB FUNDS TRANSFER FROM  X2504",,1500.00,Posted,3637.45
"XXXXXX9750",10/3/2025,,"FDR DEBIT CARD VISA DEBIT FOREIGN TRANSACTION FEE MERCATONE DI IT",.14,,Posted,2137.45
"XXXXXX9750",10/3/2025,,"FDR DEBIT CARD VISA DEBIT FOREIGN TRANSACTION FEE COLLEGIO DON IT",.12,,Posted,2137.59
"XXXXXX9750",10/3/2025,,"POS SIG 10/02 VISA #3333 MERCATONE DI CHEN SIEN PADOVA IT",6.95,,Posted,2137.71
"XXXXXX9750",10/3/2025,,"POS SIG 10/02 VISA #3333 COLLEGIO DON MAZZA PADOVA IT",5.89,,Posted,2144.66
"XXXXXX9750",10/1/2025,,"FCB FUNDS TRANSFER TO  X7703",302.67,,Posted,2150.55
"XXXXXX9750",10/1/2025,,"FCB FUNDS TRANSFER TO  X7703",272.68,,Posted,2453.22
"XXXXXX9750",9/30/2025,,"FDR DEBIT CARD VISA DEBIT FOREIGN TRANSACTION FEE GELATERIA ROM IT",.09,,Posted,2725.90
"XXXXXX9750",9/30/2025,,"POS SIG 09/29 VISA #3333 GELATERIA ROMANA PADOVA IT",4.68,,Posted,2725.99
"XXXXXX9750",9/30/2025,,"FCB FUNDS TRANSFER FROM  X2504",,40.00,Posted,2730.67
"XXXXXX9750",9/25/2025,,"FDR DEBIT CARD VISA DEBIT FOREIGN TRANSACTION FEE MEDIAWORLD PA IT",4.74,,Posted,2690.67
"XXXXXX9750",9/25/2025,,"FDR DEBIT CARD VISA DEBIT FOREIGN TRANSACTION FEE PADOVA HFB EC IT",1.32,,Posted,2695.41
"XXXXXX9750",9/25/2025,,"POS SIG 09/24 VISA #3333 MEDIAWORLD PADOVA CDC PADOVA IT",237.01,,Posted,2696.73
"XXXXXX9750",9/25/2025,,"POS SIG 09/24 VISA #3333 PADOVA HFB ECO PADOVA IT",65.85,,Posted,2933.74
"XXXXXX9750",9/23/2025,,"POS SIG 09/22 VISA #3333 THE UPS STORE 5399 919-8065084 NC",10.00,,Posted,2999.59
"XXXXXX9750",9/22/2025,,"VENMO CASHOUT *********0792",,260.00,Posted,3009.59
"XXXXXX9750",9/22/2025,,"FCB FUNDS TRANSFER FROM  X2504",,740.00,Posted,2749.59
"XXXXXX9750",9/8/2025,,"VENMO CASHOUT *********2188",,695.00,Posted,2009.59
"XXXXXX9750",9/2/2025,,"FCB FUNDS TRANSFER TO  X7703",218.18,,Posted,1314.59
"XXXXXX9750",9/2/2025,,"FCB FUNDS TRANSFER TO  X7703",19.50,,Posted,1532.77
"XXXXXX9750",9/2/2025,,"FCB FUNDS TRANSFER FROM  X2504",,40.00,Posted,1552.27
"XXXXXX9750",8/26/2025,,"VENMO PAYMENT *********2457",921.00,,Posted,1512.27
"XXXXXX9750",8/26/2025,,"VENMO CASHOUT *********9616",,578.00,Posted,2433.27
"XXXXXX9750",8/22/2025,,"VENMO CASHOUT *********3416",,340.00,Posted,1855.27
"XXXXXX9750",8/1/2025,,"FCB FUNDS TRANSFER TO  X7703",1207.86,,Posted,1515.27
"XXXXXX9750",8/1/2025,,"FCB FUNDS TRANSFER TO  X7703",286.74,,Posted,2723.13
"XXXXXX9750",7/31/2025,,"FCB FUNDS TRANSFER FROM  X2504",,40.00,Posted,3009.87
"XXXXXX9750",7/18/2025,,"FCB FUNDS TRANSFER TO  X2504",30000.00,,Posted,2969.87
"XXXXXX9750",7/9/2025,,"FCB FUNDS TRANSFER FROM  X2504",,30000.00,Posted,32969.87
"XXXXXX9750",7/1/2025,,"FCB FUNDS TRANSFER TO  X7703",64.10,,Posted,2969.87
"XXXXXX9750",6/30/2025,,"FCB FUNDS TRANSFER FROM  X2504",,40.00,Posted,3033.97
"XXXXXX9750",6/18/2025,,"VENMO PAYMENT *********6647",216.69,,Posted,2993.97
"XXXXXX9750",6/18/2025,,"VENMO CASHOUT *********9836",,61.00,Posted,3210.66
"XXXXXX9750",6/17/2025,,"FID BKG SVC LLC MONEYLINE Z******6819SFIL",,994.15,Posted,3149.66
"XXXXXX9750",6/10/2025,,"VENMO CASHOUT *********0567",,678.21,Posted,2155.51
"XXXXXX9750",6/2/2025,,"FCB FUNDS TRANSFER TO  X7703",236.84,,Posted,1477.30
"XXXXXX9750",6/2/2025,,"FCB FUNDS TRANSFER TO  X7703",236.84,,Posted,1714.14
"XXXXXX9750",6/2/2025,,"FCB FUNDS TRANSFER FROM  X2504",,40.00,Posted,1950.98
"XXXXXX9750",5/20/2025,,"Customer Deposit",,100.00,Posted,1910.98
"XXXXXX9750",5/9/2025,,"CREE INC DIRECT DEP **********418L3",,335.11,Posted,1810.98
"XXXXXX9750",5/6/2025,,"Customer Deposit",,1385.00,Posted,1475.87
"XXXXXX9750",5/1/2025,,"FCB FUNDS TRANSFER TO  X7703",1283.36,,Posted,90.87
"XXXXXX9750",4/30/2025,,"FCB FUNDS TRANSFER FROM  X2504",,40.00,Posted,1374.23
"XXXXXX9750",4/25/2025,,"CREE INC DIRECT DEP **********588L3",,780.77,Posted,1334.23
"XXXXXX9750",4/23/2025,,"VENMO PAYMENT *********7766",5.00,,Posted,553.46
"XXXXXX9750",4/22/2025,,"VENMO PAYMENT *********7460",25.00,,Posted,558.46
"XXXXXX9750",4/21/2025,,"VENMO PAYMENT *********7643",5.00,,Posted,583.46
"XXXXXX9750",4/11/2025,,"CREE INC DIRECT DEP **********088L3",,568.70,Posted,588.46
"XXXXXX9750",4/4/2025,,"POS SIG 04/03 VISA #3333 NCSU T2 PAYSTATION RALEIGH NC",7.00,,Posted,19.76
"XXXXXX9750",4/1/2025,,"FCB FUNDS TRANSFER TO  X7703",434.92,,Posted,26.76
"XXXXXX9750",4/1/2025,,"VENMO CASHOUT *********4839",,22.86,Posted,461.68
"XXXXXX9750",3/31/2025,,"FCB FUNDS TRANSFER FROM  X2504",,40.00,Posted,438.82
"XXXXXX9750",3/28/2025,,"FID BKG SVC LLC MONEYLINE Z*******81A2MS0",1000.00,,Posted,398.82
"XXXXXX9750",3/28/2025,,"CREE INC DIRECT DEP **********708L3",,768.24,Posted,1398.82
"XXXXXX9750",3/14/2025,,"COINBASE INC. F5BF3AAE RTL-FSVXG5WM",1000.00,,Posted,630.58
"XXXXXX9750",3/14/2025,,"CREE INC DIRECT DEP **********648L3",,768.23,Posted,1630.58
"XXXXXX9750",3/7/2025,,"VENMO PAYMENT *********6595",30.00,,Posted,862.35
"XXXXXX9750",3/3/2025,,"FCB FUNDS TRANSFER TO  X7703",112.07,,Posted,892.35
"XXXXXX9750",2/28/2025,,"CREE INC DIRECT DEP **********338L3",,776.27,Posted,1004.42
"XXXXXX9750",2/28/2025,,"FCB FUNDS TRANSFER FROM  X2504",,40.00,Posted,228.15
"XXXXXX9750",2/26/2025,,"FID BKG SVC LLC MONEYLINE Z*******815MY3T",1000.00,,Posted,188.15
"XXXXXX9750",2/20/2025,,"FCB FUNDS TRANSFER TO  X7703",1306.56,,Posted,1188.15
"XXXXXX9750",2/18/2025,,"FCB FUNDS TRANSFER FROM  X2504",,200.00,Posted,2494.71
"XXXXXX9750",2/18/2025,,"FCB FUNDS TRANSFER FROM  X3961",,100.00,Posted,2294.71
"XXXXXX9750",2/14/2025,,"CREE INC DIRECT DEP **********378L3",,826.37,Posted,2194.71
"XXXXXX9750",2/11/2025,,"VENMO PAYMENT *********4553",20.00,,Posted,1368.34
"XXXXXX9750",2/6/2025,,"FID BKG SVC LLC MONEYLINE Z*******812ZLU5",1000.00,,Posted,1388.34
"XXXXXX9750",2/3/2025,,"VENMO CASHOUT *********0339",,250.00,Posted,2388.34
"XXXXXX9750",1/31/2025,,"CREE INC DIRECT DEP **********638L3",,647.34,Posted,2138.34
"XXXXXX9750",1/31/2025,,"FCB FUNDS TRANSFER FROM  X2504",,40.00,Posted,1491.00
"XXXXXX9750",1/21/2025,,"VENMO CASHOUT *********9662",,80.00,Posted,1451.00
"XXXXXX9750",1/17/2025,,"CREE INC DIRECT DEP **********708L3",,292.42,Posted,1371.00
"XXXXXX9750",1/7/2025,,"FID BKG SVC LLC MONEYLINE Z****1268 YVCUN",400.00,,Posted,1078.58
"XXXXXX9750",1/6/2025,,"VENMO PAYMENT *********1695",53.00,,Posted,1478.58
"XXXXXX9750",1/3/2025,,"CREE INC DIRECT DEP **********468L3",,418.51,Posted,1531.58
